iteration,timestamp,T0,P_RAW1,V_PUB,T2,V_ER2i
0,2022-03-10 16:31:45.593396,0,0,0,0,0
1,2022-03-10 16:31:45.912171,0,0,0,0.0,1.0
2,2022-03-10 16:31:46.305771,0.4202320873737335,1.0,0.0,0.0,1.0
3,2022-03-10 16:31:46.591867,0.4202320873737335,1.0,0.0,0.0,1.0
4,2022-03-10 16:31:46.971603,0.4202320873737335,1.0,0.0,0.0,1.0
5,2022-03-10 16:31:47.273839,0.4202320873737335,1.0,0.0,0.0,1.0
6,2022-03-10 16:31:47.572157,0.4202320873737335,1.0,0.0,0.0,1.0
7,2022-03-10 16:31:47.964472,0.4202320873737335,1.0,0.0,0.0,1.0
8,2022-03-10 16:31:48.264483,0.4202320873737335,1.0,0.0,0.45574694871902466,0.0
9,2022-03-10 16:31:48.519737,0.396830677986145,0.0,0.0,0.45574694871902466,0.0
10,2022-03-10 16:31:48.994508,0.396830677986145,0.0,0.0,0.45574694871902466,0.0
11,2022-03-10 16:31:49.280425,0.396830677986145,0.0,0.0,0.45574694871902466,0.0
12,2022-03-10 16:31:49.472480,0.396830677986145,0.0,0.0,0.45574694871902466,0.0
13,2022-03-10 16:31:49.839236,0.396830677986145,0.0,0.0,0.45574694871902466,0.0
14,2022-03-10 16:31:50.125047,0.396830677986145,0.0,0.0,0.45574694871902466,0.0
15,2022-03-10 16:31:50.509594,0.396830677986145,0.0,0.0,0.45574694871902466,0.0
16,2022-03-10 16:31:50.738423,0.396830677986145,0.0,0.0,0.4238535761833191,0.0
17,2022-03-10 16:31:51.132957,0.396830677986145,0.0,0.0,0.4238535761833191,0.0
18,2022-03-10 16:31:51.625374,0.396830677986145,0.0,0.0,0.4238535761833191,0.0
19,2022-03-10 16:31:51.913961,0.396830677986145,0.0,0.0,0.4238535761833191,0.0
20,2022-03-10 16:31:52.200420,0.396830677986145,0.0,0.0,0.4238535761833191,0.0
21,2022-03-10 16:31:52.689622,0.396830677986145,0.0,0.0,0.4238535761833191,0.0
22,2022-03-10 16:31:53.000178,0.396830677986145,0.0,0.0,0.3961426019668579,0.0
23,2022-03-10 16:31:53.394509,0.396830677986145,0.0,0.0,0.3961426019668579,0.0
24,2022-03-10 16:31:53.947033,0.396830677986145,0.0,0.0,0.3961426019668579,0.0
25,2022-03-10 16:31:54.232743,0.396830677986145,0.0,0.0,0.3961426019668579,0.0
26,2022-03-10 16:31:54.647459,0.396830677986145,0.0,0.0,0.3961426019668579,0.0
27,2022-03-10 16:31:55.124435,0.396830677986145,0.0,0.0,0.3961426019668579,0.0
28,2022-03-10 16:31:55.569882,0.396830677986145,0.0,0.0,0.37622517347335815,0.0
29,2022-03-10 16:31:55.865794,0.396830677986145,0.0,0.0,0.37622517347335815,0.0
30,2022-03-10 16:31:56.248912,0.396830677986145,0.0,0.0,0.37622517347335815,0.0
31,2022-03-10 16:31:56.538331,0.396830677986145,0.0,0.0,0.37622517347335815,0.0
32,2022-03-10 16:31:56.824541,0.396830677986145,0.0,0.0,0.37622517347335815,0.0
33,2022-03-10 16:31:57.257045,0.396830677986145,0.0,0.0,0.37622517347335815,0.0
33,2022-03-10 16:31:57.544358,0.396830677986145,0.0,0.0,0.37622517347335815,0.0
35,2022-03-10 16:31:57.896173,0.396830677986145,0.0,0.0,0.3449430763721466,0.0
36,2022-03-10 16:31:58.381060,0.396830677986145,0.0,0.0,0.3449430763721466,0.0
37,2022-03-10 16:31:58.685434,0.396830677986145,0.0,0.0,0.3449430763721466,0.0
38,2022-03-10 16:31:58.970863,0.396830677986145,0.0,0.0,0.3449430763721466,0.0
39,2022-03-10 16:31:59.630149,0.396830677986145,0.0,0.0,0.3449430763721466,0.0
40,2022-03-10 16:31:59.837972,0.396830677986145,0.0,0.0,0.3449430763721466,0.0
41,2022-03-10 16:32:00.124831,0.396830677986145,0.0,0.0,0.3449430763721466,0.0
42,2022-03-10 16:32:00.671010,0.396830677986145,0.0,0.0,0.3176250755786896,0.0
43,2022-03-10 16:32:00.868739,0.396830677986145,0.0,0.0,0.3176250755786896,0.0
43,2022-03-10 16:32:01.257290,0.396830677986145,0.0,0.0,0.3176250755786896,0.0
45,2022-03-10 16:32:01.932154,0.396830677986145,0.0,0.0,0.3176250755786896,0.0
46,2022-03-10 16:32:02.219062,0.396830677986145,0.0,0.0,0.3176250755786896,0.0
47,2022-03-10 16:32:02.504664,0.396830677986145,0.0,0.0,0.3176250755786896,0.0
48,2022-03-10 16:32:03.004138,0.396830677986145,0.0,0.0,0.29392683506011963,0.0
49,2022-03-10 16:32:03.316467,0.396830677986145,0.0,0.0,0.29392683506011963,0.0
50,2022-03-10 16:32:03.620876,0.396830677986145,0.0,0.0,0.29392683506011963,0.0
51,2022-03-10 16:32:04.113673,0.396830677986145,0.0,0.0,0.29392683506011963,0.0
52,2022-03-10 16:32:04.598728,0.396830677986145,0.0,0.0,0.29392683506011963,0.0
53,2022-03-10 16:32:04.983978,0.396830677986145,0.0,0.0,0.29392683506011963,0.0
54,2022-03-10 16:32:05.671239,0.396830677986145,0.0,0.0,0.26991724967956543,0.0
55,2022-03-10 16:32:05.956535,0.396830677986145,0.0,0.0,0.26991724967956543,0.0
56,2022-03-10 16:32:06.537769,0.396830677986145,0.0,0.0,0.26991724967956543,0.0
57,2022-03-10 16:32:06.790073,0.396830677986145,0.0,0.0,0.26991724967956543,0.0
58,2022-03-10 16:32:07.108864,0.396830677986145,0.0,0.0,0.26991724967956543,0.0
59,2022-03-10 16:32:07.643043,0.396830677986145,0.0,0.0,0.26991724967956543,0.0
60,2022-03-10 16:32:07.938262,0.396830677986145,0.0,0.0,0.24994365870952606,0.0
61,2022-03-10 16:32:08.223346,0.396830677986145,0.0,0.0,0.24994365870952606,0.0
62,2022-03-10 16:32:08.726434,0.396830677986145,0.0,0.0,0.24994365870952606,0.0
63,2022-03-10 16:32:09.022069,0.396830677986145,0.0,0.0,0.24994365870952606,0.0
64,2022-03-10 16:32:09.308351,0.396830677986145,0.0,0.0,0.24994365870952606,0.0
65,2022-03-10 16:32:09.789748,0.396830677986145,0.0,0.0,0.24994365870952606,0.0
66,2022-03-10 16:32:09.996092,0.396830677986145,0.0,0.0,0.24994365870952606,0.0
67,2022-03-10 16:32:10.402229,0.396830677986145,0.0,0.0,0.2229345738887787,0.0
68,2022-03-10 16:32:10.987377,0.396830677986145,0.0,0.0,0.2229345738887787,0.0
69,2022-03-10 16:32:11.273761,0.396830677986145,0.0,0.0,0.2229345738887787,0.0
70,2022-03-10 16:32:11.560273,0.396830677986145,0.0,0.0,0.2229345738887787,0.0
71,2022-03-10 16:32:12.127780,0.396830677986145,0.0,0.0,0.2229345738887787,0.0
72,2022-03-10 16:32:12.413995,0.396830677986145,0.0,0.0,0.2229345738887787,0.0
73,2022-03-10 16:32:12.700095,0.396830677986145,0.0,0.0,0.19896413385868073,0.0
74,2022-03-10 16:32:13.282849,0.396830677986145,0.0,0.0,0.19896413385868073,0.0
75,2022-03-10 16:32:13.602999,0.396830677986145,0.0,0.0,0.19896413385868073,0.0
76,2022-03-10 16:32:13.896437,0.396830677986145,0.0,0.0,0.19896413385868073,0.0
77,2022-03-10 16:32:14.372087,0.396830677986145,0.0,0.0,0.19896413385868073,0.0
78,2022-03-10 16:32:14.657951,0.396830677986145,0.0,0.0,0.19896413385868073,0.0
79,2022-03-10 16:32:14.979251,0.396830677986145,0.0,0.0,0.19896413385868073,0.0
80,2022-03-10 16:32:15.459151,0.396830677986145,0.0,0.0,0.17173053324222565,0.0
81,2022-03-10 16:32:15.931489,0.396830677986145,0.0,0.0,0.17173053324222565,0.0
82,2022-03-10 16:32:16.237209,0.396830677986145,0.0,0.0,0.17173053324222565,0.0
83,2022-03-10 16:32:16.715757,0.396830677986145,0.0,0.0,0.17173053324222565,0.0
84,2022-03-10 16:32:17.016494,0.396830677986145,0.0,0.0,0.17173053324222565,0.0
85,2022-03-10 16:32:17.325283,0.396830677986145,0.0,0.0,0.17173053324222565,0.0
86,2022-03-10 16:32:17.902436,0.396830677986145,1.0,0.0,0.16901017725467682,1.0
87,2022-03-10 16:32:18.196325,0.396830677986145,1.0,0.0,0.16901017725467682,1.0
88,2022-03-10 16:32:18.481520,0.396830677986145,1.0,0.0,0.16901017725467682,1.0
89,2022-03-10 16:32:19.014475,0.396830677986145,1.0,0.0,0.16901017725467682,1.0
90,2022-03-10 16:32:19.286434,0.396830677986145,1.0,0.0,0.16901017725467682,1.0
91,2022-03-10 16:32:19.502231,0.396830677986145,1.0,0.0,0.16901017725467682,1.0
92,2022-03-10 16:32:20.096440,0.35560810565948486,1.0,0.0,0.20430471003055573,1.0
93,2022-03-10 16:32:20.368782,0.35560810565948486,1.0,0.0,0.20430471003055573,1.0
94,2022-03-10 16:32:20.564128,0.35560810565948486,1.0,0.0,0.20430471003055573,1.0
95,2022-03-10 16:32:20.931254,0.35560810565948486,1.0,0.0,0.20430471003055573,1.0
96,2022-03-10 16:32:21.309570,0.35560810565948486,1.0,0.0,0.20430471003055573,1.0
97,2022-03-10 16:32:21.647928,0.35560810565948486,1.0,0.0,0.20430471003055573,1.0
98,2022-03-10 16:32:21.946447,0.35560810565948486,1.0,0.0,0.20430471003055573,1.0
99,2022-03-10 16:32:22.551952,0.31461426615715027,1.0,0.0,0.22836226224899292,1.0
100,2022-03-10 16:32:22.838705,0.31461426615715027,1.0,0.0,0.22836226224899292,1.0
101,2022-03-10 16:32:23.134796,0.31461426615715027,1.0,0.0,0.22836226224899292,1.0
102,2022-03-10 16:32:23.779049,0.31461426615715027,1.0,0.0,0.22836226224899292,1.0
103,2022-03-10 16:32:24.122611,0.31461426615715027,1.0,0.0,0.22836226224899292,1.0
104,2022-03-10 16:32:24.400136,0.31461426615715027,1.0,0.0,0.22836226224899292,1.0
105,2022-03-10 16:32:24.732940,0.31461426615715027,1.0,0.0,0.24051499366760254,1.0
106,2022-03-10 16:32:25.299373,0.2796860337257385,1.0,0.0,0.24051499366760254,1.0
107,2022-03-10 16:32:25.586133,0.2796860337257385,1.0,0.0,0.24051499366760254,1.0
108,2022-03-10 16:32:25.876409,0.2796860337257385,1.0,0.0,0.24051499366760254,1.0
109,2022-03-10 16:32:26.450514,0.2796860337257385,1.0,0.0,0.24051499366760254,1.0
110,2022-03-10 16:32:26.820138,0.2796860337257385,1.0,0.0,0.24051499366760254,1.0
111,2022-03-10 16:32:27.158433,0.2507423162460327,0.0,1.0,0.25006428360939026,1.0
112,2022-03-10 16:32:27.478889,0.2507423162460327,0.0,1.0,0.25006428360939026,1.0
113,2022-03-10 16:32:28.100585,0.2507423162460327,0.0,1.0,0.25006428360939026,1.0
114,2022-03-10 16:32:28.388908,0.2507423162460327,0.0,1.0,0.25006428360939026,1.0
115,2022-03-10 16:32:28.675065,0.2507423162460327,0.0,1.0,0.25006428360939026,1.0
116,2022-03-10 16:32:28.961938,0.2507423162460327,0.0,1.0,0.25006428360939026,1.0
117,2022-03-10 16:32:29.644132,0.4474085867404938,0.0,1.0,0.2511272430419922,1.0
118,2022-03-10 16:32:29.930241,0.4474085867404938,0.0,1.0,0.2511272430419922,1.0
119,2022-03-10 16:32:30.175959,0.4474085867404938,0.0,1.0,0.2511272430419922,1.0
120,2022-03-10 16:32:30.660250,0.4474085867404938,0.0,1.0,0.2511272430419922,1.0
121,2022-03-10 16:32:30.947606,0.4474085867404938,0.0,1.0,0.2511272430419922,1.0
122,2022-03-10 16:32:31.337299,0.4474085867404938,0.0,1.0,0.2511272430419922,1.0
123,2022-03-10 16:32:31.628201,0.4474085867404938,0.0,1.0,0.2511272430419922,1.0
124,2022-03-10 16:32:32.459505,0.4795767068862915,0.0,0.0,0.2464519441127777,1.0
125,2022-03-10 16:32:32.837849,0.4795767068862915,0.0,0.0,0.2464519441127777,1.0
126,2022-03-10 16:32:33.225589,0.4795767068862915,0.0,0.0,0.2464519441127777,1.0
127,2022-03-10 16:32:33.510875,0.4795767068862915,0.0,0.0,0.2464519441127777,1.0
