iteration,timestamp,T1_LEVEL,T2_LEVEL,T0_LEVEL,J_CT3_LEVEL,J_CT6_LEVEL,J_CT5_LEVEL,J2a_15_LEVEL,J1_70_LEVEL,J1_40_LEVEL,J1_50_LEVEL,J1_51_LEVEL,J1_60_LEVEL,J1_61_LEVEL,J2c_12_LEVEL,J2c_14_LEVEL,Jb_53_LEVEL,J2c_11_LEVEL,J2c_13_LEVEL,J2a_20_LEVEL,J2a_30_LEVEL,J2a_33_LEVEL,J2a_23_LEVEL,J2a_41_LEVEL,J_CT1_LEVEL,J_CT2_LEVEL,J1_11_LEVEL,J1_30_LEVEL,J2b_21_LEVEL,J2b_40_LEVEL,J2b_30_LEVEL,J2b_31_LEVEL,J2b_50_LEVEL,J2b_41_LEVEL,J2c_10_LEVEL,J_CT4_LEVEL,J2b_10_LEVEL,J1_10_LEVEL,J1_20_LEVEL,J2a_31_LEVEL,J2a_32_LEVEL,J2a_21_LEVEL,J2a_22_LEVEL,J1-CLin_LEVEL,J2a_40_LEVEL,J1-MPA_LEVEL,J1_33_LEVEL,J1_31_LEVEL,RWtank_Top_LEVEL,J1_34_LEVEL,J2a_10_LEVEL,J2a_12_LEVEL,J2a_13_LEVEL,J2a_14_LEVEL,ER2_Top_LEVEL,ER1_Top_LEVEL,J2b_11_LEVEL,J2b_12_LEVEL,J2b_14_LEVEL,J2b_Leak_LEVEL,J2b_15_LEVEL,J2b_20_LEVEL,J2b_51_LEVEL,J2b_52_LEVEL,J2a_11_LEVEL,J1_32_LEVEL,CT1_CV_LEVEL,CT2_CV_LEVEL,CT3_CV_LEVEL,CT4_CV_LEVEL,CT5_CV_LEVEL,CT6_CV_LEVEL,CT1_FV_LEVEL,CT2_FV_LEVEL,CT3_FV_LEVEL,CT4_FV_LEVEL,CT5_FV_LEVEL,CT6_FV_LEVEL,P_RAW1_FLOW,P_RAW1_STATUS,P_RAW2_FLOW,P_RAW2_STATUS,P_B2_FLOW,P_B2_STATUS,P_B1_FLOW,P_B1_STATUS,V_Gi_G_FLOW,V_Gi_G_STATUS,V_Gi_B_FLOW,V_Gi_B_STATUS,V_SWaT_FLOW,V_SWaT_STATUS,V_PUB_FLOW,V_PUB_STATUS,V_ER2i_FLOW,V_ER2i_STATUS,V_ER2o_FLOW,V_ER2o_STATUS,V_ER1i_FLOW,V_ER1i_STATUS,V_ER1o_FLOW,V_ER1o_STATUS,FCV_ER_FLOW,FCV_ER_STATUS,FCV_RWin_FLOW,FCV_RWin_STATUS,V1_FLOW,V1_STATUS,V2_FLOW,V2_STATUS,V3_FLOW,V3_STATUS,V4_FLOW,V4_STATUS,V5_FLOW,V5_STATUS,V6_FLOW,V6_STATUS,V7_FLOW,V7_STATUS,V8_FLOW,V8_STATUS,V9_FLOW,V9_STATUS,V10_FLOW,V10_STATUS,V11_FLOW,V11_STATUS,V12_FLOW,V12_STATUS
0,2022-03-10 15:37:26.578159,0.349513225051139,0.46430172808407955,0.42096495515568066,56.31363596382643,56.31363596382643,56.3125315523638,1.8156172861821844,1.236595778254729,1.4040046061576315,1.3939414757896191,1.247329765630401,1.4040046061576315,1.236595778254729,56.313242824170615,56.113635963826425,56.09377472909541,56.313197965129014,56.313474076368735,0.2586027557408026,0.35139361680782044,1.843977992327552,1.843746740129432,1.84316169467047,56.312422616776345,56.3125315523638,0.9209649551556807,0.7609649551556807,0.7624680393840533,2.0624680393840533,2.0621211830794985,57.81533786226938,56.514861532656596,57.81486153265659,56.31313388858316,56.312422616776345,57.01313388858316,9.2,4.04,0.35139361680782044,1.6639779923275522,0.2586027557408026,1.5495132250511392,1.5009649551556807,1.8434276284965854,1.5009649551556807,1.5009649551556807,1.5009649551556807,-0.6490350448443194,1.4160803059549854,1.9272035054971763,2.1829269792299097,1.8421740392715684,1.8113144854898924,-0.2867740584632652,-0.3950330938457298,57.59313388858316,56.89313388858316,56.89313388858316,56.89313388858316,56.18313388858316,1.84316169467047,57.59458403837269,57.59400598129353,1.9272035054971763,1.5009649551556807,56.312422616776345,56.3125315523638,56.31363596382643,56.312422616776345,56.3125315523638,56.31363596382643,56.312422616776345,56.3125315523638,56.31363596382643,56.312422616776345,56.3125315523638,56.31363596382643,0.00024240990114577924,1,0.0,0,0.0,0,0.00016748256453864082,1,0.0,0,0.00016748256453864082,1,0.0,0,0.0,0,-0.0001728375764013135,1,0.00016748256453864082,1,0.00041524747754709273,1,0.0,0,0.00024240990114577924,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
1,2022-03-10 15:37:27.073015,0.35947916451226924,0.45613404470152075,0.415147117528182,56.371300776660505,56.371300776660505,56.3702723355635,1.7700275402600738,1.1977519429240706,1.3976278834876845,1.3874449907671866,1.2086136766914395,1.3976278834876845,1.1977519429240706,56.37093467879832,56.1713007766605,56.15142999738585,56.37089290483191,56.371150024301514,0.26287372327058023,0.2900275402600738,1.8358325776639421,1.83561723216075,1.8350724297866037,56.370170892007046,56.3702723355635,0.915147117528182,0.7551471175281821,0.754426490760076,2.054426490760076,2.054103493667579,57.872885606273904,56.572442042568106,57.8724420425681,56.37083323524187,56.370170892007046,57.07083323524187,9.2,4.04,0.3561340447015209,1.6558325776639422,0.26287372327058023,1.5594791645122692,1.495147117528182,1.8353200711476985,1.495147117528182,1.495147117528182,1.495147117528182,-0.654852882471818,1.4098472977449426,1.8882478918571073,2.143444419234189,1.8012543606878972,1.7700275402600738,-0.29386595529847925,-0.3884841221532829,57.65083323524187,56.950833235241866,56.950833235241866,56.950833235241866,56.240833235241865,1.8350724297866037,57.65218363600271,57.65164534288903,1.8882478918571073,1.495147117528182,56.370170892007046,56.3702723355635,56.371300776660505,56.370170892007046,56.3702723355635,56.371300776660505,56.370170892007046,56.3702723355635,56.371300776660505,56.370170892007046,56.3702723355635,56.371300776660505,0.000243963701488976,1,0.0,0,0.0,0,0.0001611592378685129,1,0.0,0,0.0001611592378685117,1,0.0,0,0.0,0,0.0,0,0.0001611592378685117,1,0.000243963701488976,1,0.0,0,0.000243963701488976,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2,2022-03-10 15:37:27.351559,0.3653342933480046,0.4522662229926766,0.40929198869244665,56.431017473796494,56.431017473796494,56.430062126830634,1.7757650278686847,1.2026894796629013,1.3919557511557348,1.3818120723874099,1.213509385253055,1.3919557511557348,1.2026894796629013,56.430677393987864,56.23101747379649,56.21113751130021,56.43063858832335,56.4308774349949,0.26871578024533727,0.29576502786868475,1.831986181599193,1.831786140592157,1.8312800577444055,56.429967891714426,56.430062126830634,0.9092919886924467,0.7492919886924467,0.7506800284014978,2.050680028401498,2.0503799872272515,57.93248966674,56.6320776284216,57.932077628421595,56.430583158871656,56.429967891714426,57.13058315887166,9.2,4.04,0.35226622299267674,1.651986181599193,0.26871578024533727,1.5653342933480046,1.4892919886924467,1.831510099167841,1.4892919886924467,1.4892919886924467,1.4892919886924467,-0.6607080113075534,1.4041281087890307,1.8932220283218062,2.1485910944757736,1.8068715936692745,1.7757650278686847,-0.2977337770073234,-0.38263683638851287,57.71058315887166,57.010583158871654,57.010583158871654,57.010583158871654,56.30058315887165,1.8312800577444055,57.71183758693784,57.71133755230724,1.8932220283218062,1.4892919886924467,56.429967891714426,56.430062126830634,56.431017473796494,56.429967891714426,56.430062126830634,56.431017473796494,56.429967891714426,56.430062126830634,56.431017473796494,56.429967891714426,56.430062126830634,56.431017473796494,0.00024345595520515115,1,0.0,0,0.0,0,0.00015486905230954664,1,0.0,0,0.00015486905230954664,1,0.0,0,0.0,0,0.0,0,0.0001548690523095467,1,0.00024345595520515115,1,0.0,0,0.00024345595520515115,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
3,2022-03-10 15:37:27.613262,0.3711772362729282,0.44854936573724746,0.40344904576752305,56.36250880489855,56.36250880489855,56.36147897320854,1.7814907616388174,1.207618200637095,1.3862951326239055,1.3761905237832435,1.218396431676104,1.3862951326239055,1.207618200637095,56.36214221205163,56.16250880489855,56.14263820033148,56.362100381614475,56.3623578487178,0.2745456993184867,0.3014907616388174,1.828247491083659,1.8280318544174852,1.8274863154168683,56.36137739251433,56.36147897320854,0.903449045767523,0.7434490457675231,0.7468395029725519,2.046839502972552,2.046516069151028,57.864095777388805,56.563651613922325,57.86365161392232,56.36204063135742,56.36137739251433,57.06204063135742,9.2,4.04,0.3485493657372476,1.648247491083659,0.2745456993184867,1.5711772362729284,1.4834490457675231,1.8277342916110373,1.4834490457675231,1.4834490457675231,1.4834490457675231,-0.666550954232477,1.3984206064624263,1.8981872145989207,2.1537281858269,1.8124775144844987,1.7814907616388174,-0.30145063426275254,-0.3768017077291188,57.64204063135742,56.942040631357415,56.942040631357415,56.942040631357415,56.232040631357414,1.8274863154168683,57.64339285796722,57.64285383699765,1.8981872145989207,1.4834490457675231,56.36137739251433,56.36147897320854,56.36250880489855,56.36137739251433,56.36147897320854,56.36250880489855,56.36137739251433,56.36147897320854,56.36250880489855,56.36137739251433,56.36147897320854,56.36250880489855,0.00024294917496657018,1,0.0,0,0.0,0,0.00016127687675751337,1,0.0,0,0.00016127687675751283,1,0.0,0,0.0,0,0.0,0,0.00016127687675751283,1,0.00024294917496657018,1,0.0,0,0.00024294917496657018,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
4,2022-03-10 15:37:28.003558,0.3770080164721259,0.4446787206950673,0.39761826556832536,56.272730246362016,56.272730246362016,56.27160121426419,1.757008016472126,0.977008016472126,1.4276182655683254,1.4276182655683254,0.977008016472126,1.4276182655683254,0.977008016472126,56.27232834295787,56.07273024636201,56.05287210483958,56.27228248410441,56.27256475022514,0.27700801647212603,0.27700801647212603,1.8243477680491973,1.824111360781932,1.8235132732687511,56.271489850655634,56.27160121426419,0.8976182655683254,0.7376182655683254,0.7428041539883188,2.042804153988319,2.042449565343463,57.77447008470371,56.473983136246346,57.77398313624634,56.27221697934932,56.271489850655634,56.97221697934932,9.2,4.04,0.34467872069506744,1.6443477680491974,0.27700801647212603,1.577008016472126,1.4776182655683254,1.8237851353501024,1.4776182655683254,1.4776182655683254,1.4776182655683254,-0.6723817344316747,1.4276182655683254,1.677008016472126,1.977008016472126,1.757008016472126,1.757008016472126,-0.3053212793049327,-0.3729919835278741,57.55221697934932,56.852216979349315,56.852216979349315,56.852216979349315,56.142216979349314,1.8235132732687511,57.553699455979526,57.553108512106846,1.677008016472126,1.4776182655683254,56.271489850655634,56.27160121426419,56.272730246362016,56.271489850655634,56.27160121426419,56.272730246362016,56.271489850655634,56.27160121426419,56.272730246362016,56.271489850655634,56.27160121426419,56.272730246362016,0.0,0,0.0,0,0.0,0,0.00016948859565078656,1,0.0,0,0.00016948859565078654,1,0.0,0,0.0,0,0.0,0,0.00016948859565078654,1,0.0,1,0.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
5,2022-03-10 15:37:28.311696,0.3770080164721259,0.4406109943994485,0.39761826556832536,56.235919721714176,56.235919721714176,56.234752755921846,1.757008016472126,0.977008016472126,1.4276182655683254,1.4276182655683254,0.977008016472126,1.4276182655683254,0.977008016472126,56.23550431577179,56.03591972171417,56.016066345977436,56.2354569164857,56.23574866559157,0.27700801647212603,0.27700801647212603,1.8202689224956619,1.8200245726758768,1.8194063909166676,56.23463765140473,56.234752755921846,0.8976182655683254,0.7376182655683254,0.7386734458246529,2.038673445824653,2.038306943751755,57.7377180150971,56.43721470589107,57.73721470589107,56.23538921125468,56.23463765140473,56.93538921125468,9.2,4.04,0.34061099439944864,1.640268922495662,0.27700801647212603,1.577008016472126,1.4776182655683254,1.8196873868204124,1.4776182655683254,1.4776182655683254,1.4776182655683254,-0.6723817344316747,1.4276182655683254,1.677008016472126,1.977008016472126,1.757008016472126,1.757008016472126,-0.3093890056005515,-0.3729919835278741,57.51538921125468,56.815389211254676,56.815389211254676,56.815389211254676,56.105389211254675,1.8194063909166676,57.51692149471344,57.516310695797216,1.677008016472126,1.4776182655683254,56.23463765140473,56.234752755921846,56.235919721714176,56.23463765140473,56.234752755921846,56.235919721714176,56.23463765140473,56.234752755921846,56.235919721714176,56.23463765140473,56.234752755921846,56.235919721714176,0.0,0,0.0,0,0.0,0,0.00017254036787469338,1,0.0,0,0.00017254036787469338,1,0.0,0,0.0,0,0.0,0,0.0001725403678746934,1,0.0,1,0.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
6,2022-03-10 15:37:28.588884,0.3770080164721259,0.4364700255704559,0.39761826556832536,56.28919395129742,56.28919395129742,56.28809345847977,1.757008016472126,0.977008016472126,1.4276182655683254,1.4276182655683254,0.977008016472126,1.4276182655683254,0.977008016472126,56.28880220648914,56.08919395129742,56.069332224247916,56.288757506578854,56.289032638201036,0.27700801647212603,0.27700801647212603,1.8161474384614331,1.8159170067495418,1.8153340370773943,56.28798490933912,56.28809345847977,0.8976182655683254,0.7376182655683254,0.7346428430553906,2.0346428430553907,2.0342972174380045,57.79088981118752,56.49041517168064,57.790415171680635,56.28869365734849,56.28798490933912,56.98869365734849,9.2,4.04,0.336470025570456,1.6361474384614332,0.27700801647212603,1.577008016472126,1.4776182655683254,1.81559902735624,1.4776182655683254,1.4776182655683254,1.4776182655683254,-0.6723817344316747,1.4276182655683254,1.677008016472126,1.977008016472126,1.757008016472126,1.757008016472126,-0.3135299744295441,-0.3729919835278741,57.56869365734849,56.86869365734849,56.86869365734849,56.86869365734849,56.158693657348486,1.8153340370773943,57.57013866196419,57.56956265595981,1.677008016472126,1.4776182655683254,56.28798490933912,56.28809345847977,56.28919395129742,56.28798490933912,56.28809345847977,56.28919395129742,56.28798490933912,56.28809345847977,56.28919395129742,56.28798490933912,56.28809345847977,56.28919395129742,0.0,0,0.0,0,0.0,0,0.00016716139231614754,1,0.0,0,0.00016716139231614757,1,0.0,0,0.0,0,0.0,0,0.00016716139231614754,1,0.0,1,0.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
7,2022-03-10 15:37:29.049445,0.3770080164721259,0.43245815215486827,0.39761826556832536,56.31068761318478,56.31068761318478,56.3096165820475,1.757008016472126,0.977008016472126,1.4276182655683254,1.4276182655683254,0.977008016472126,1.4276182655683254,0.977008016472126,56.31030635531064,56.11068761318478,56.09082218471781,56.31026285180491,56.31053061833099,0.27700801647212603,0.27700801647212603,1.8121442009624993,1.8119199379421367,1.8113525747313879,56.309510938347536,56.3096165820475,0.8976182655683254,0.7376182655683254,0.7306798853130474,2.0306798853130474,2.0303435124136366,57.812338073214654,56.51187614048759,57.811876140487584,56.31020071161067,56.309510938347536,57.01020071161067,9.2,4.04,0.3324581521548684,1.6321442009624993,0.27700801647212603,1.577008016472126,1.4776182655683254,1.8116104711050196,1.4776182655683254,1.4776182655683254,1.4776182655683254,-0.6723817344316747,1.4276182655683254,1.677008016472126,1.977008016472126,1.757008016472126,1.757008016472126,-0.31754184784513173,-0.3729919835278741,57.59020071161067,56.89020071161067,56.89020071161067,56.89020071161067,56.18020071161067,1.8113525747313879,57.591607033079676,57.59104644773817,1.677008016472126,1.4776182655683254,56.309510938347536,56.3096165820475,56.31068761318478,56.309510938347536,56.3096165820475,56.31068761318478,56.309510938347536,56.3096165820475,56.31068761318478,56.309510938347536,56.3096165820475,56.31068761318478,0.0,0,0.0,0,0.0,0,0.000164729657870409,1,0.0,0,0.000164729657870409,1,0.0,0,0.0,0,0.0,0,0.000164729657870409,1,0.0,1,0.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
8,2022-03-10 15:37:29.386023,0.3770080164721259,0.4285046403659787,0.39761826556832536,56.325027213232254,56.325027213232254,56.32397728620942,1.757008016472126,0.977008016472126,1.4276182655683254,1.4276182655683254,0.977008016472126,1.4276182655683254,0.977008016472126,56.32465346740835,56.12502721323225,56.10515913334728,56.324610820918686,56.32487331164316,0.27700801647212603,0.27700801647212603,1.808196875291283,1.8079770310564787,1.8074208471355557,56.323873723752165,56.32397728620942,0.8976182655683254,0.7376182655683254,0.7267614130087592,2.0267614130087592,2.0264316680564596,57.82664515223827,56.526192321684654,57.82619232168465,56.324549904951105,56.323873723752165,57.02454990495111,9.2,4.04,0.3285046403659788,1.628196875291283,0.27700801647212603,1.577008016472126,1.4776182655683254,1.8076736619709994,1.4776182655683254,1.4776182655683254,1.4776182655683254,-0.6723817344316747,1.4276182655683254,1.677008016472126,1.977008016472126,1.757008016472126,1.757008016472126,-0.3214953596340213,-0.3729919835278741,57.60454990495111,56.904549904951104,56.904549904951104,56.904549904951104,56.1945499049511,1.8074208471355557,57.60592851673157,57.605378977582085,1.677008016472126,1.4776182655683254,56.323873723752165,56.32397728620942,56.325027213232254,56.323873723752165,56.32397728620942,56.325027213232254,56.323873723752165,56.32397728620942,56.325027213232254,56.323873723752165,56.32397728620942,56.325027213232254,0.0,0,0.0,0,0.0,0,0.0001629687812028066,1,0.0,0,0.0001629687812028066,1,0.0,0,0.0,0,0.0,0,0.0001629687812028066,1,0.0,1,0.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
9,2022-03-10 15:37:29.704073,0.3770080164721259,0.42459338961711124,0.39761826556832536,56.29994268804183,56.29994268804183,56.298868332136955,1.757008016472126,0.977008016472126,1.4276182655683254,1.4276182655683254,0.977008016472126,1.4276182655683254,0.977008016472126,56.299560246710676,56.09994268804183,56.0800776772822,56.2995166081898,56.299785205871636,0.27700801647212603,0.27700801647212603,1.8042784638564442,1.804053504695484,1.8034843802862628,56.29876236055591,56.298868332136955,0.8976182655683254,0.7376182655683254,0.7228096026130479,2.022809602613048,2.0224721855389767,57.80159827147252,56.50113490477807,57.80113490477807,56.29945427512963,56.29876236055591,56.99945427512963,9.2,4.04,0.32459338961711137,1.6242784638564443,0.27700801647212603,1.577008016472126,1.4776182655683254,1.803743077211364,1.4776182655683254,1.4776182655683254,1.4776182655683254,-0.6723817344316747,1.4276182655683254,1.677008016472126,1.977008016472126,1.757008016472126,1.757008016472126,-0.32540661038288876,-0.3729919835278741,57.57945427512963,56.879454275129625,56.879454275129625,56.879454275129625,56.169454275129624,1.8034843802862628,57.5808649620152,57.580302636443164,1.677008016472126,1.4776182655683254,56.29876236055591,56.298868332136955,56.29994268804183,56.29876236055591,56.298868332136955,56.29994268804183,56.29876236055591,56.298868332136955,56.29994268804183,56.29876236055591,56.298868332136955,56.29994268804183,0.0,0,0.0,0,0.0,0,0.00016500560787059915,1,0.0,0,0.00016500560787059915,1,0.0,0,0.0,0,0.0,0,0.0001650056078705991,1,0.0,1,0.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
10,2022-03-10 15:37:30.123801,0.3770080164721259,0.4206332550282168,0.39761826556832536,56.317902483492496,56.317902483492496,56.31685341738406,1.757008016472126,0.977008016472126,1.4276182655683254,1.4276182655683254,0.977008016472126,1.4276182655683254,0.977008016472126,56.31752904411284,56.11790248349249,56.09803429544638,56.31748643258405,56.31774870808909,0.27700801647212603,0.27700801647212603,1.8003257423080277,1.8001060783317737,1.7995503504552433,56.31674993982844,56.31685341738406,0.8976182655683254,0.7376182655683254,0.7188914570604397,2.0188914570604397,2.0185619824864878,57.81951909584631,56.519066636603796,57.81906663660379,56.31742556655722,56.31674993982844,57.01742556655722,9.2,4.04,0.32063325502821693,1.6203257423080277,0.27700801647212603,1.577008016472126,1.4776182655683254,1.7998029579960264,1.4776182655683254,1.4776182655683254,1.4776182655683254,-0.6723817344316747,1.4276182655683254,1.677008016472126,1.977008016472126,1.757008016472126,1.757008016472126,-0.3293667449717832,-0.3729919835278741,57.59742556655722,56.89742556655722,56.89742556655722,56.89742556655722,56.187425566557216,1.7995503504552433,57.59880304795739,57.598253959422635,1.677008016472126,1.4776182655683254,56.31674993982844,56.31685341738406,56.317902483492496,56.31674993982844,56.31685341738406,56.317902483492496,56.31674993982844,56.31685341738406,56.317902483492496,56.31674993982844,56.31685341738406,56.317902483492496,0.0,0,0.0,0,0.0,0,0.00016289660453606706,1,0.0,0,0.00016289660453606703,1,0.0,0,0.0,0,0.0,0,0.00016289660453606706,1,0.0,1,0.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
11,2022-03-10 15:37:30.373074,0.3770080164721259,0.416723736519351,0.39761826556832536,56.285424052900225,56.285424052900225,56.284342019536815,1.757008016472126,0.977008016472126,1.4276182655683254,1.4276182655683254,0.977008016472126,1.4276182655683254,0.977008016472126,56.28503887876433,56.08542405290022,56.06556000669824,56.284994928470525,56.28526544543311,0.27700801647212603,0.27700801647212603,1.7964065603134822,1.7961799936447027,1.7956068023264915,56.284235290822544,56.284342019536815,0.8976182655683254,0.7376182655683254,0.7149272025143565,2.0149272025143565,2.0145873742620344,57.78709146714157,56.48662478917048,57.786624789170475,56.28493215005006,56.284235290822544,56.984932150050064,9.2,4.04,0.31672373651935115,1.6164065603134823,0.27700801647212603,1.577008016472126,1.4776182655683254,1.7958673478620442,1.4776182655683254,1.4776182655683254,1.4776182655683254,-0.6723817344316747,1.4276182655683254,1.677008016472126,1.977008016472126,1.757008016472126,1.757008016472126,-0.333276263480649,-0.3729919835278741,57.56493215005006,56.86493215005006,56.86493215005006,56.86493215005006,56.15493215005006,1.7956068023264915,57.56635291742993,57.56578657336702,1.677008016472126,1.4776182655683254,56.284235290822544,56.284342019536815,56.285424052900225,56.284235290822544,56.284342019536815,56.285424052900225,56.284235290822544,56.284342019536815,56.285424052900225,56.284235290822544,56.284342019536815,56.285424052900225,0.0,0,0.0,0,0.0,0,0.00016564132675982448,1,0.0,0,0.00016564132675982445,1,0.0,0,0.0,0,0.0,0,0.00016564132675982445,1,0.0,1,0.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
12,2022-03-10 15:37:30.639781,0.3770080164721259,0.4127483446771154,0.39761826556832536,56.23151493963013,56.23151493963013,56.2303751573928,1.757008016472126,0.977008016472126,1.4276182655683254,1.4276182655683254,0.977008016472126,1.4276182655683254,0.977008016472126,56.23110920970119,56.03151493963013,56.01165814869827,56.23106291429943,56.23134786783204,0.27700801647212603,0.27700801647212603,1.7924142409121446,1.792175582781285,1.791571800700564,56.23026273363602,56.2303751573928,0.8976182655683254,0.7376182655683254,0.7108559293553458,2.010855929355346,2.010497964529286,57.73327134371658,56.43277975873937,57.73277975873937,56.230996785944406,56.23026273363602,56.93099678594441,9.2,4.04,0.31274834467711554,1.6124142409121447,0.27700801647212603,1.577008016472126,1.4776182655683254,1.791846251242849,1.4776182655683254,1.4776182655683254,1.4776182655683254,-0.6723817344316747,1.4276182655683254,1.677008016472126,1.977008016472126,1.757008016472126,1.757008016472126,-0.3372516553228846,-0.3729919835278741,57.51099678594441,56.810996785944404,56.810996785944404,56.810996785944404,56.1009967859444,1.791571800700564,57.51249337747961,57.51189680682913,1.677008016472126,1.4776182655683254,56.23026273363602,56.2303751573928,56.23151493963013,56.23026273363602,56.2303751573928,56.23151493963013,56.23026273363602,56.2303751573928,56.23151493963013,56.23026273363602,56.2303751573928,56.23151493963013,0.0,0,0.0,0,0.0,0,0.00017035817342898792,1,0.0,0,0.00017035817342898795,1,0.0,0,0.0,0,0.0,0,0.00017035817342898798,1,0.0,1,0.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
