iteration,timestamp,T1_LEVEL,T2_LEVEL,T0_LEVEL,J_CT3_LEVEL,J_CT6_LEVEL,J_CT5_LEVEL,J2a_15_LEVEL,J1_70_LEVEL,J1_40_LEVEL,J1_50_LEVEL,J1_51_LEVEL,J1_60_LEVEL,J1_61_LEVEL,J2c_12_LEVEL,J2c_14_LEVEL,Jb_53_LEVEL,J2c_11_LEVEL,J2c_13_LEVEL,J2a_20_LEVEL,J2a_30_LEVEL,J2a_33_LEVEL,J2a_23_LEVEL,J2a_41_LEVEL,J_CT1_LEVEL,J_CT2_LEVEL,J1_11_LEVEL,J1_30_LEVEL,J2b_21_LEVEL,J2b_40_LEVEL,J2b_30_LEVEL,J2b_31_LEVEL,J2b_50_LEVEL,J2b_41_LEVEL,J2c_10_LEVEL,J_CT4_LEVEL,J2b_10_LEVEL,J1_10_LEVEL,J1_20_LEVEL,J2a_31_LEVEL,J2a_32_LEVEL,J2a_21_LEVEL,J2a_22_LEVEL,J1-CLin_LEVEL,J2a_40_LEVEL,J1-MPA_LEVEL,J1_33_LEVEL,J1_31_LEVEL,RWtank_Top_LEVEL,J1_34_LEVEL,J2a_10_LEVEL,J2a_12_LEVEL,J2a_13_LEVEL,J2a_14_LEVEL,ER2_Top_LEVEL,ER1_Top_LEVEL,J2b_11_LEVEL,J2b_12_LEVEL,J2b_14_LEVEL,J2b_Leak_LEVEL,J2b_15_LEVEL,J2b_20_LEVEL,J2b_51_LEVEL,J2b_52_LEVEL,J2a_11_LEVEL,J1_32_LEVEL,CT1_CV_LEVEL,CT2_CV_LEVEL,CT3_CV_LEVEL,CT4_CV_LEVEL,CT5_CV_LEVEL,CT6_CV_LEVEL,CT1_FV_LEVEL,CT2_FV_LEVEL,CT3_FV_LEVEL,CT4_FV_LEVEL,CT5_FV_LEVEL,CT6_FV_LEVEL,P_RAW1_FLOW,P_RAW1_STATUS,P_RAW2_FLOW,P_RAW2_STATUS,P_B2_FLOW,P_B2_STATUS,P_B1_FLOW,P_B1_STATUS,V_Gi_G_FLOW,V_Gi_G_STATUS,V_Gi_B_FLOW,V_Gi_B_STATUS,V_SWaT_FLOW,V_SWaT_STATUS,V_PUB_FLOW,V_PUB_STATUS,V_ER2i_FLOW,V_ER2i_STATUS,V_ER2o_FLOW,V_ER2o_STATUS,V_ER1i_FLOW,V_ER1i_STATUS,V_ER1o_FLOW,V_ER1o_STATUS,FCV_ER_FLOW,FCV_ER_STATUS,FCV_RWin_FLOW,FCV_RWin_STATUS,V1_FLOW,V1_STATUS,V2_FLOW,V2_STATUS,V3_FLOW,V3_STATUS,V4_FLOW,V4_STATUS,V5_FLOW,V5_STATUS,V6_FLOW,V6_STATUS,V7_FLOW,V7_STATUS,V8_FLOW,V8_STATUS,V9_FLOW,V9_STATUS,V10_FLOW,V10_STATUS,V11_FLOW,V11_STATUS,V12_FLOW,V12_STATUS
0,2022-03-10 15:30:05.291672,0.34510761575526305,0.46891125477581985,0.4207610377598392,56.31824549051809,56.31824549051809,56.31714107905546,1.816333045283044,1.2367044006996726,1.4038059644072904,1.3937439645467802,1.2474371822017885,1.4038059644072904,1.2367044006996726,56.317852350862275,56.118245490518085,56.09838425578707,56.31780749182067,56.318083603060394,0.25470130502957433,0.35425094008534086,1.8485875190192924,1.8483562668211724,1.84777122136221,56.317032143468005,56.31714107905546,0.9207610377598392,0.7607610377598393,0.7670775660757931,2.067077566075793,2.066730709771238,57.81994738896104,56.519471059348255,57.81947105934825,56.31774341527482,56.317032143468005,57.01774341527482,9.2,4.04,0.35425094008534086,1.6685875190192925,0.25470130502957433,1.545107615755263,1.5007610377598393,1.8480371551883257,1.5007610377598393,1.5007610377598393,1.5007610377598393,-0.6492389622401609,1.4158803075990778,1.927313183083532,2.1830416309736074,1.8423022568247613,1.8114461698895254,-0.28231055659206294,-0.3991362090943831,57.59774341527482,56.89774341527482,56.89774341527482,56.89774341527482,56.18774341527482,1.84777122136221,57.59919356506435,57.59861550798519,1.927313183083532,1.5007610377598393,56.317032143468005,56.31714107905546,56.31824549051809,56.317032143468005,56.31714107905546,56.31824549051809,56.317032143468005,56.31714107905546,56.31824549051809,56.317032143468005,56.31714107905546,56.31824549051809,0.0002423951959078247,1,0.0,0,0.0,0,0.00016748256453864854,1,0.0,0,0.00016748256453864854,1,0.0,0,0.0,0,-0.0001851343728397078,1,0.00016748256453864854,1,0.0004275295687475325,1,0.0,0,0.0002423951959078247,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
1,2022-03-10 15:30:05.617299,0.3553683254052038,0.46044844827873943,0.4149435530580514,56.3756151802376,56.3756151802376,56.3745867391406,1.765955995388493,1.1939475956928196,1.3973631949717333,1.3871672041027472,1.204823300805753,1.3973631949717333,1.1939475956928196,56.37524908237542,56.1756151802376,56.155744400962945,56.37520730840901,56.37546442787861,0.2587672503943641,0.2859559953884929,1.8401469812411608,1.8399316357379687,1.839386833363822,56.374485295584144,56.3745867391406,0.9149435530580514,0.7549435530580515,0.7587408943372942,2.0587408943372947,2.058417897244797,57.877200009851,56.57675644614521,57.87675644614521,56.375147638818966,56.374485295584144,57.07514763881897,9.2,4.04,0.36044844827873956,1.660146981241161,0.2587672503943641,1.5553683254052038,1.4949435530580515,1.8396344747249171,1.4949435530580515,1.4949435530580515,1.4949435530580515,-0.6550564469419486,1.4095983269675942,1.8844313196748652,2.139570216070246,1.7972229829736601,1.765955995388493,-0.28955155172126057,-0.39259234153705935,57.65514763881897,56.955147638818964,56.955147638818964,56.955147638818964,56.24514763881896,1.839386833363822,57.65649803957981,57.65595974646613,1.8844313196748652,1.4949435530580515,56.374485295584144,56.3745867391406,56.3756151802376,56.374485295584144,56.3745867391406,56.3756151802376,56.374485295584144,56.3745867391406,56.3756151802376,56.374485295584144,56.3745867391406,56.3756151802376,0.0002441330971883031,1,0.0,0,0.0,0,0.00016115923786852462,1,0.0,0,0.00016115923786851858,1,0.0,0,0.0,0,0.0,0,0.00016115923786851858,1,0.0002441330971883031,1,0.0,0,0.0002441330971883031,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2,2022-03-10 15:30:05.956501,0.36122751973772305,0.45658062656989484,0.40908435872553217,56.43533187737416,56.43533187737416,56.43437653040831,1.7716974041987963,1.1988880724327329,1.391687221601421,1.3815304927831051,1.2097218980634112,1.391687221601421,1.1988880724327329,56.43499179756553,56.23533187737416,56.215451914877875,56.434952991901014,56.43519183857257,0.2646133568327278,0.2916974041987963,1.8363005851764111,1.8361005441693756,1.8355944613216246,56.4342822952921,56.43437653040831,0.9090843587255322,0.7490843587255323,0.754994431978717,2.054994431978717,2.054694390804471,57.93680407031766,56.636392031999264,57.93639203199926,56.43489756244932,56.4342822952921,57.134897562449325,9.2,4.04,0.356580626569895,1.6563005851764112,0.2646133568327278,1.5612275197377232,1.4890843587255322,1.8358245027450597,1.4890843587255322,1.4890843587255322,1.4890843587255322,-0.6609156412744679,1.403875239255199,1.8894084410326013,2.144720087836597,1.80284398965562,1.7716974041987963,-0.29341937343010516,-0.3867409998953826,57.71489756244932,57.01489756244932,57.01489756244932,57.01489756244932,56.30489756244932,1.8355944613216246,57.716151990515506,57.715651955884915,1.8894084410326013,1.4890843587255322,56.4342822952921,56.43437653040831,56.43533187737416,56.4342822952921,56.43437653040831,56.43533187737416,56.4342822952921,56.43437653040831,56.43533187737416,56.4342822952921,56.43437653040831,56.43533187737416,0.00024362502868052432,1,0.0,0,0.0,0,0.00015486905230950164,1,0.0,0,0.0001548690523095017,1,0.0,0,0.0,0,0.0,0,0.00015486905230950167,1,0.00024362502868052432,1,0.0,0,0.00024362502868052432,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
3,2022-03-10 15:30:06.223917,0.3670745204260557,0.4528637693144666,0.4032373580371995,56.36682320847627,56.36682320847627,56.36579337678626,1.7774270519302622,1.2038197295201494,1.3860227689976914,1.3759051580411963,1.214611829469939,1.3860227689976914,1.2038197295201494,56.366456615629346,56.166823208476266,56.1469526039092,56.36641478519219,56.36667225229552,0.27044731769088903,0.2974270519302622,1.8325618946608786,1.8323462579947043,1.8318007189940884,56.365691796092044,56.36579337678626,0.9032373580371995,0.7432373580371996,0.7511539065497714,2.0511539065497715,2.050830472728248,57.86841018096652,56.56796601750004,57.86796601750004,56.36635503493513,56.365691796092044,57.066355034935135,9.2,4.04,0.3528637693144667,1.6525618946608787,0.27044731769088903,1.5670745204260559,1.4832373580371996,1.8320486951882569,1.4832373580371996,1.4832373580371996,1.4832373580371996,-0.6667626419628006,1.3981638453357796,1.8943766081615097,2.1498603709481574,1.8084536774350382,1.7774270519302622,-0.2971362306855334,-0.38090182305958886,57.646355034935134,56.94635503493513,56.94635503493513,56.94635503493513,56.23635503493513,1.8318007189940884,57.64770726154494,57.64716824057537,1.8943766081615097,1.4832373580371996,56.365691796092044,56.36579337678626,56.36682320847627,56.365691796092044,56.36579337678626,56.36682320847627,56.365691796092044,56.36579337678626,56.36682320847627,56.365691796092044,56.36579337678626,56.36682320847627,0.00024311792672506352,1,0.0,0,0.0,0,0.0001612768767574649,1,0.0,0,0.00016127687675746531,1,0.0,0,0.0,0,0.0,0,0.00016127687675746531,1,0.00024311792672506352,1,0.0,0,0.00024311792672506352,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
4,2022-03-10 15:30:06.589047,0.37290935066745723,0.4489931242722873,0.397402527795798,56.27704464993944,56.27704464993944,56.27591561784161,1.7529093506674573,0.9729093506674573,1.427402527795798,1.427402527795798,0.9729093506674573,1.427402527795798,0.9729093506674573,56.2766427465353,56.07704464993944,56.057186508417004,56.27659688768184,56.27687915380257,0.27290935066745736,0.27290935066745736,1.8286621716264178,1.828425764359152,1.8278276768459716,56.27580425423306,56.27591561784161,0.897402527795798,0.7374025277957981,0.7471185575655392,2.0471185575655393,2.046763968920684,57.77878448828114,56.47829753982377,57.77829753982377,56.27653138292674,56.27580425423306,56.976531382926744,9.2,4.04,0.34899312427228746,1.6486621716264178,0.27290935066745736,1.5729093506674574,1.477402527795798,1.828099538927323,1.477402527795798,1.477402527795798,1.477402527795798,-0.6725974722042021,1.427402527795798,1.6729093506674573,1.9729093506674573,1.7529093506674573,1.7529093506674573,-0.3010068757277127,-0.37709064933254277,57.55653138292674,56.85653138292674,56.85653138292674,56.85653138292674,56.14653138292674,1.8278276768459716,57.55801385955695,57.55742291568427,1.6729093506674573,1.477402527795798,56.27580425423306,56.27591561784161,56.27704464993944,56.27580425423306,56.27591561784161,56.27704464993944,56.27580425423306,56.27591561784161,56.27704464993944,56.27580425423306,56.27591561784161,56.27704464993944,0.0,0,0.0,0,0.0,0,0.00016948859565076713,1,0.0,0,0.00016948859565076713,1,0.0,0,0.0,0,0.0,0,0.00016948859565076713,1,0.0,1,0.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
5,2022-03-10 15:30:06.878163,0.37290935066745723,0.44492539797666897,0.397402527795798,56.240234125292005,56.240234125292005,56.239067159499676,1.7529093506674573,0.9729093506674573,1.427402527795798,1.427402527795798,0.9729093506674573,1.427402527795798,0.9729093506674573,56.23981871934962,56.040234125292,56.02038074955526,56.23977132006353,56.2400630691694,0.27290935066745736,0.27290935066745736,1.8245833260728823,1.8243389762530973,1.8237207944938885,56.23895205498257,56.239067159499676,0.897402527795798,0.7374025277957981,0.7429878494018742,2.0429878494018743,2.0426213473289763,57.74203241867493,56.4415291094689,57.7415291094689,56.23970361483251,56.23895205498257,56.93970361483251,9.2,4.04,0.3449253979766691,1.6445833260728824,0.27290935066745736,1.5729093506674574,1.477402527795798,1.8240017903976329,1.477402527795798,1.477402527795798,1.477402527795798,-0.6725974722042021,1.427402527795798,1.6729093506674573,1.9729093506674573,1.7529093506674573,1.7529093506674573,-0.30507460202333103,-0.37709064933254277,57.51970361483251,56.819703614832505,56.819703614832505,56.819703614832505,56.109703614832505,1.8237207944938885,57.52123589829127,57.520625099375046,1.6729093506674573,1.477402527795798,56.23895205498257,56.239067159499676,56.240234125292005,56.23895205498257,56.239067159499676,56.240234125292005,56.23895205498257,56.239067159499676,56.240234125292005,56.23895205498257,56.239067159499676,56.240234125292005,0.0,0,0.0,0,0.0,0,0.00017254036787463649,1,0.0,0,0.0001725403678746365,1,0.0,0,0.0,0,0.0,0,0.0001725403678746365,1,0.0,1,0.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
6,2022-03-10 15:30:07.133424,0.37290935066745723,0.4407844291476777,0.397402527795798,56.29350835487514,56.29350835487514,56.29240786205748,1.7529093506674573,0.9729093506674573,1.427402527795798,1.427402527795798,0.9729093506674573,1.427402527795798,0.9729093506674573,56.29311661006685,56.093508354875134,56.073646627825624,56.29307191015656,56.293347041778745,0.27290935066745736,0.27290935066745736,1.820461842038655,1.820231410326764,1.819648440654617,56.29229931291683,56.29240786205748,0.897402527795798,0.7374025277957981,0.7389572466326138,2.038957246632614,2.0386116210152276,57.79520421476523,56.49472957525835,57.794729575258344,56.2930080609262,56.29229931291683,56.9930080609262,9.2,4.04,0.3407844291476778,1.640461842038655,0.27290935066745736,1.5729093506674574,1.477402527795798,1.8199134309334621,1.477402527795798,1.477402527795798,1.477402527795798,-0.6725974722042021,1.427402527795798,1.6729093506674573,1.9729093506674573,1.7529093506674573,1.7529093506674573,-0.3092155708523223,-0.37709064933254277,57.5730080609262,56.873008060926196,56.873008060926196,56.873008060926196,56.163008060926195,1.819648440654617,57.574453065541896,57.57387705953752,1.6729093506674573,1.477402527795798,56.29229931291683,56.29240786205748,56.29350835487514,56.29229931291683,56.29240786205748,56.29350835487514,56.29229931291683,56.29240786205748,56.29350835487514,56.29229931291683,56.29240786205748,56.29350835487514,0.0,0,0.0,0,0.0,0,0.00016716139231610173,1,0.0,0,0.00016716139231609837,1,0.0,0,0.0,0,0.0,0,0.00016716139231609834,1,0.0,1,0.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
7,2022-03-10 15:30:07.493566,0.37290935066745723,0.4367725557320914,0.397402527795798,56.31500201676369,56.31500201676369,56.31393098562641,1.7529093506674573,0.9729093506674573,1.427402527795798,1.427402527795798,0.9729093506674573,1.427402527795798,0.9729093506674573,56.314620758889546,56.11500201676369,56.095136588296725,56.31457725538382,56.31484502190991,0.27290935066745736,0.27290935066745736,1.8164586045397229,1.8162343415193607,1.8156669783086128,56.313825341926446,56.31393098562641,0.897402527795798,0.7374025277957981,0.7349942888902741,2.034994288890274,2.0346579159908638,57.816652476793564,56.516190544066504,57.8161905440665,56.31451511518958,56.313825341926446,57.01451511518958,9.2,4.04,0.3367725557320915,1.636458604539723,0.27290935066745736,1.5729093506674574,1.477402527795798,1.8159248746822445,1.477402527795798,1.477402527795798,1.477402527795798,-0.6725974722042021,1.427402527795798,1.6729093506674573,1.9729093506674573,1.7529093506674573,1.7529093506674573,-0.3132274442679086,-0.37709064933254277,57.59451511518958,56.89451511518958,56.89451511518958,56.89451511518958,56.184515115189576,1.8156669783086128,57.59592143665859,57.59536085131708,1.6729093506674573,1.477402527795798,56.313825341926446,56.31393098562641,56.31500201676369,56.313825341926446,56.31393098562641,56.31500201676369,56.313825341926446,56.31393098562641,56.31500201676369,56.313825341926446,56.31393098562641,56.31500201676369,0.0,0,0.0,0,0.0,0,0.00016472965787024717,1,0.0,0,0.00016472965787024717,1,0.0,0,0.0,0,0.0,0,0.00016472965787024717,1,0.0,1,0.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
8,2022-03-10 15:30:07.839800,0.37290935066745723,0.43281904394320536,0.397402527795798,56.329341616810545,56.329341616810545,56.32829168978772,1.7529093506674573,0.9729093506674573,1.427402527795798,1.427402527795798,0.9729093506674573,1.427402527795798,0.9729093506674573,56.32896787098665,56.12934161681054,56.10947353692558,56.328925224496984,56.32918771522146,0.27290935066745736,0.27290935066745736,1.81251127886851,1.8122914346337058,1.8117352507127837,56.32818812733046,56.32829168978772,0.897402527795798,0.7374025277957981,0.7310758165859881,2.031075816585988,2.030746071633689,57.83095955581656,56.530506725262946,57.83050672526294,56.328864308529404,56.32818812733046,57.02886430852941,9.2,4.04,0.3328190439432055,1.63251127886851,0.27290935066745736,1.5729093506674574,1.477402527795798,1.811988065548227,1.477402527795798,1.477402527795798,1.477402527795798,-0.6725974722042021,1.427402527795798,1.6729093506674573,1.9729093506674573,1.7529093506674573,1.7529093506674573,-0.31718095605679464,-0.37709064933254277,57.608864308529405,56.9088643085294,56.9088643085294,56.9088643085294,56.1988643085294,1.8117352507127837,57.61024292030987,57.60969338116038,1.6729093506674573,1.477402527795798,56.32818812733046,56.32829168978772,56.329341616810545,56.32818812733046,56.32829168978772,56.329341616810545,56.32818812733046,56.32829168978772,56.329341616810545,56.32818812733046,56.32829168978772,56.329341616810545,0.0,0,0.0,0,0.0,0,0.00016296878120270318,1,0.0,0,0.0001629687812027032,1,0.0,0,0.0,0,0.0,0,0.0001629687812027032,1,0.0,1,0.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
9,2022-03-10 15:30:08.191863,0.37290935066745723,0.4289077931943406,0.397402527795798,56.304257091618965,56.304257091618965,56.30318273571409,1.7529093506674573,0.9729093506674573,1.427402527795798,1.427402527795798,0.9729093506674573,1.427402527795798,0.9729093506674573,56.30387465028781,56.10425709161896,56.08439208085933,56.30383101176693,56.30409960944877,0.27290935066745736,0.27290935066745736,1.8085928674336735,1.8083679082727133,1.8077987838634921,56.303076764133046,56.30318273571409,0.897402527795798,0.7374025277957981,0.7271240061902773,2.0271240061902773,2.026786589116206,57.805912675049655,56.5054493083552,57.8054493083552,56.30376867870676,56.303076764133046,57.00376867870676,9.2,4.04,0.3289077931943407,1.6285928674336736,0.27290935066745736,1.5729093506674574,1.477402527795798,1.8080574807885934,1.477402527795798,1.477402527795798,1.477402527795798,-0.6725974722042021,1.427402527795798,1.6729093506674573,1.9729093506674573,1.7529093506674573,1.7529093506674573,-0.3210922068056594,-0.37709064933254277,57.58376867870676,56.88376867870676,56.88376867870676,56.88376867870676,56.17376867870676,1.8077987838634921,57.58517936559233,57.5846170400203,1.6729093506674573,1.477402527795798,56.303076764133046,56.30318273571409,56.304257091618965,56.303076764133046,56.30318273571409,56.304257091618965,56.303076764133046,56.30318273571409,56.304257091618965,56.303076764133046,56.30318273571409,56.304257091618965,0.0,0,0.0,0,0.0,0,0.00016500560787060874,1,0.0,0,0.00016500560787061156,1,0.0,0,0.0,0,0.0,0,0.00016500560787061156,1,0.0,1,0.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
